"¿Qué es una variable?","Una variable es un contenedor en memoria que almacena datos y cuyo valor puede cambiar durante la ejecución de un programa."
"¿Qué es un bucle?","Un bucle es una estructura de control que repite un bloque de código mientras se cumpla una condición determinada."
"¿Qué es un algoritmo?","Un algoritmo es una serie de pasos finitos y definidos que se siguen para resolver un problema o realizar una tarea."
"¿Qué es una función?","Una función es un bloque de código reutilizable que realiza una tarea específica y puede recibir parámetros de entrada y devolver un resultado."
"¿Qué es un array?","Un array es una estructura de datos que almacena una colección de elementos del mismo tipo, accesibles mediante un índice."
"¿Qué es un objeto?","Un objeto es una instancia de una clase que agrupa datos y comportamientos relacionados, permitiendo la programación orientada a objetos."
"¿Qué es un condicional?","Un condicional es una estructura de control que permite ejecutar diferentes bloques de código según si se cumple o no una condición."
"¿Qué es un error de sintaxis?","Un error de sintaxis es un error en el código que impide que el programa se compile o ejecute correctamente debido a una mala estructura o gramática."
"¿Qué es un error de ejecución?","Un error de ejecución es un error que ocurre durante la ejecución del programa, lo que provoca que se detenga inesperadamente."
"¿Qué es un error lógico?","Un error lógico es un error en el código que no impide la ejecución del programa, pero produce resultados incorrectos o inesperados."
"¿Qué es un compilador?","Un compilador es un programa que traduce el código fuente escrito en un lenguaje de programación a un lenguaje de máquina que puede ser ejecutado por la computadora."
"¿Qué es un intérprete?","Un intérprete es un programa que ejecuta el código fuente línea por línea, traduciendo cada instrucción a medida que se encuentra."
"¿Qué es un IDE?","Un IDE (Entorno de Desarrollo Integrado) es una aplicación que proporciona herramientas para facilitar la programación, como un editor de código, depurador y compilador."
"¿Qué es un sistema de control de versiones?","Un sistema de control de versiones es una herramienta que permite gestionar y rastrear los cambios en el código fuente a lo largo del tiempo."
"¿Qué es un repositorio?","Un repositorio es un lugar donde se almacena el código fuente y su historial de cambios, facilitando la colaboración entre desarrolladores."
"¿Qué es un commit?","Un commit es una acción que guarda los cambios realizados en el código fuente en un sistema de control de versiones."
"¿Qué es un branch?","Un branch (rama) es una versión paralela del código fuente en un sistema de control de versiones, que permite trabajar en diferentes características o correcciones sin afectar la rama principal."
"¿Qué es un merge?","Un merge es el proceso de combinar los cambios de diferentes ramas en un sistema de control de versiones."
"¿Qué es un pull request?","Un pull request es una solicitud para que los cambios realizados en una rama sean revisados y fusionados en otra rama, generalmente la rama principal."
"¿Qué es un bug?","Un bug es un error o defecto en el código que provoca un comportamiento inesperado o incorrecto en el programa."
"¿Qué es un framework?","Un framework es una colección de bibliotecas y herramientas que proporcionan una estructura y funcionalidades predefinidas para facilitar el desarrollo de aplicaciones."
"¿Qué es una biblioteca?","Una biblioteca es un conjunto de funciones y recursos reutilizables que pueden ser utilizados en un programa para realizar tareas específicas."
"¿Qué es una API?","Una API (Interfaz de Programación de Aplicaciones) es un conjunto de reglas y protocolos que permite la comunicación entre diferentes aplicaciones o servicios."
